"filename", "language", "JSON", "PHP", "CSS", "JavaScript", "XML", "Markdown", "TypeScript", "comment", "blank", "total"
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\chart.js", "JavaScript", 0, 0, 0, 330, 0, 0, 0, 7, 15, 352
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\chartist.js", "JavaScript", 0, 0, 0, 191, 0, 0, 0, 8, 18, 217
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\circle-progress.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\clipboard.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 10
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\codeEditor.js", "JavaScript", 0, 0, 0, 117, 0, 0, 0, 2, 2, 121
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\codemirror.js", "JavaScript", 0, 0, 0, 47, 0, 0, 0, 2, 2, 51
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\context-menu.js", "JavaScript", 0, 0, 0, 238, 0, 0, 0, 2, 0, 240
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\cropper.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\custom.js", "JavaScript", 0, 0, 0, 125, 0, 0, 0, 10, 6, 141
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\dashboard.js", "JavaScript", 0, 0, 0, 662, 0, 0, 0, 3, 16, 681
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\data-table.js", "JavaScript", 0, 0, 0, 23, 0, 0, 0, 2, 0, 25
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\dataTables.bootstrap4.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 3, 0, 4
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\dataTables.bootstrap5.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 3, 0, 4
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\dataTables.select.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 3, 0, 4
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\db.js", "JavaScript", 0, 0, 0, 895, 0, 0, 0, 0, 12, 907
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\demo.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 10
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\desktop-notification.js", "JavaScript", 0, 0, 0, 65, 0, 0, 0, 1, 14, 80
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\dragula.js", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 16
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\dropify.js", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\dropzone.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\editorDemo.js", "JavaScript", 0, 0, 0, 194, 0, 0, 0, 5, 20, 219
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\file-upload.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\flot-chart.js", "JavaScript", 0, 0, 0, 455, 0, 0, 0, 30, 78, 563
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\form-addons.js", "JavaScript", 0, 0, 0, 113, 0, 0, 0, 4, 29, 146
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\form-repeater.js", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 19, 0, 38
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\form-validation.js", "JavaScript", 0, 0, 0, 91, 0, 0, 0, 6, 0, 97
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\formpickers.js", "JavaScript", 0, 0, 0, 37, 0, 0, 0, 0, 0, 37
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\google-charts.js", "JavaScript", 0, 0, 0, 178, 0, 0, 0, 14, 50, 242
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\google-maps.js", "JavaScript", 0, 0, 0, 675, 0, 0, 0, 11, 12, 698
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\hoverable-collapse.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 1, 0, 25
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\iCheck.js", "JavaScript", 0, 0, 0, 42, 0, 0, 0, 0, 1, 43
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\inputmask.js", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 1, 2, 7
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\ion-range-slider.js", "JavaScript", 0, 0, 0, 171, 0, 0, 0, 0, 18, 189
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\jq.tablesort.js", "JavaScript", 0, 0, 0, 95, 0, 0, 0, 12, 16, 123
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\jquery-3.7.0.js", "JavaScript", 0, 0, 0, 6758, 0, 0, 0, 1885, 2062, 10705
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\jquery-file-upload.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 9
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\jquery.dataTables.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 3, 0, 4
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\js-grid.js", "JavaScript", 0, 0, 0, 177, 0, 0, 0, 3, 12, 192
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\just-gage.js", "JavaScript", 0, 0, 0, 175, 0, 0, 0, 0, 18, 193
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\light-gallery.js", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 0, 2, 18
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\listify.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\mapael.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 10
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\mapael_example_1.js", "JavaScript", 0, 0, 0, 9073, 0, 0, 0, 0, 0, 9073
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\mapael_example_2.js", "JavaScript", 0, 0, 0, 168, 0, 0, 0, 3, 2, 173
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\maps.js", "JavaScript", 0, 0, 0, 215, 0, 0, 0, 0, 0, 215
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\modal-demo.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 2, 0, 12
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\morris.js", "JavaScript", 0, 0, 0, 237, 0, 0, 0, 0, 2, 239
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\no-ui-slider.js", "JavaScript", 0, 0, 0, 269, 0, 0, 0, 11, 14, 294
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\off-canvas.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\owl-carousel.js", "JavaScript", 0, 0, 0, 125, 0, 0, 0, 0, 9, 134
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\paginate.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 0, 3, 23
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\public\admin\js\popover.js", "JavaScript", 0, 0, 0, 21, 0, 0, 0, 3, 8, 32
